904,311,266,528,335
856,173,1186,231,951
420,166,135,335,222
527,132,294,179,184
426,8,12,5,9
752,211,510,284,426
910,206,658,280,496
600,137,340,185,238
648,96,302,162,277
858,52,33,59,40
858,20,26,8,18
722,16,38,20,37
882,307,664,356,517
1124,290,679,486,661
746,35,68,48,76
1831,713,1654,944,1378
974,352,950,614,809
432,16,50,14,36
1232,312,764,396,550
956,222,581,320,431
704,151,388,176,258
652,289,248,523,364
830,7,4,4,7
961,286,757,452,722
692,135,310,210,330
152,0,0,0,0
403,100,332,165,294
1334,181,1119,234,827
1168,390,890,468,697
774,8,12,12,6
570,12,35,31,41
802,9,31,22,34
806,302,243,542,338
782,306,714,426,666
791,200,502,312,396
649,231,442,298,397
489,115,287,173,258
983,263,624,341,433
760,15,20,17,20
962,23,24,22,30
474,92,607,112,421
664,203,506,338,460
723,6,6,2,2
724,194,438,213,336
792,237,683,329,486
983,421,911,642,882
934,20,50,45,48
539,18,75,10,43
986,16,90,22,64
685,16,40,32,30
1022,52,96,68,66
730,18,32,22,26
518,95,577,114,311
775,246,598,376,501
531,267,226,444,310
556,2,1,0,0
898,294,599,414,566
1511,917,671,1531,1092
803,18,17,30,21
949,234,626,424,528
1091,375,958,561,896
894,250,501,359,468
654,4,8,4,6
2260,535,2550,694,1764
742,4,1,3,1
946,38,67,56,70
824,260,782,298,582
1011,320,881,400,656
779,267,268,496,358
552,126,510,234,447
867,23,48,30,38
532,5,0,0,0
698,50,103,61,110
748,10,14,11,10
579,9,10,6,6
492,92,154,100,119
862,291,661,467,584
863,12,22,10,26
1186,394,862,492,696
646,20,42,22,38
895,274,718,347,700
948,63,37,67,41
965,407,341,710,505
1065,220,722,398,599
639,17,28,19,28
1054,271,676,465,580
690,130,383,256,344
1100,263,1011,287,769
873,182,475,284,431
878,156,1002,165,622
900,228,518,242,422
459,2,2,1,0
608,20,32,22,20
940,170,406,300,388
1198,358,816,457,646
1096,233,530,293,406
1061,262,594,396,488
1421,78,144,89,116
1514,630,1416,904,1130
443,1,1,0,0
731,9,12,10,10
850,268,691,363,584
722,2,0,0,0
